383,Natalia,Wozniak,2018-05-29,woman,Gdynia Powstania Styczniowego 87 c/3,swozniak@gmail.com,13
384,Patryk,Kaczmarczyk,2018-06-15,man,Gdynia Polska 73 c/7,nkaczmarczyk@gmail.com,13
385,Julia,Bednarczyk,2018-07-20,woman,Gdynia Morska 34 b/2,cbednarczyk@gmail.com,13
386,Dominik,Sobolewski,2018-08-12,man,Gdynia Hutnicza 23 c/7,lsobolewski@gmail.com,13
387,Laura,Pawlak,2018-09-23,woman,Gdynia Derdowskiego 69 c/6,kpawlak@gmail.com,13
388,Blanka,Bednarczyk,2018-10-05,woman,Gdynia Marynarki Polskiej 23 8 b/9,hbednarczyk@gmail.com,13
389,Kamila,Michalska,2018-11-11,woman,Gdynia Powstania Styczniowego 52 b/7,rmichalska@gmail.com,13
390,Filip,Zakrzewski,2018-12-27,man,Gdynia Wiczlina 80 a/10,uzakrzewski@gmail.com,13
391,Stanislaw,Sobolewski,2018-01-28,man,Gdynia Komuny Paryskiej 58 b/6,esobolewski@gmail.com,14
392,Anna,Majewska,2018-02-08,woman,Gdynia Swietokrzyska 21 b/7,kmajewska@gmail.com,14
393,Dominik,Krawczyk,2018-03-27,man,Gdynia 3 Maja 22 a/8,gkrawczyk@gmail.com,14
394,Grzegorz,Michalski,2018-04-20,man,Gdynia Armii Krajowej 95 b/9,nmichalski@gmail.com,14
395,Wiktoria,Gajewska,2018-05-05,woman,Gdynia Wzgorze Nawiedzenia 45 b/10,wgajewska@gmail.com,14
396,Rafal,Kowalczyk,2018-06-20,man,Gdynia 3 Maja 82 a/2,ckowalczyk@gmail.com,14
397,Oliwia,Michalska,2018-07-02,woman,Gdynia Wladyslawa IV 47 a/1,tmichalska@gmail.com,14
398,Maciej,Gorski,2018-08-19,man,Gdynia Wzgorze Sw. Maksymiliana 23 c/6,bgorski@gmail.com,14
399,Wiktor,Glowacki,2018-09-26,man,Gdynia Hutnicza 52 c/5,uglowacki@gmail.com,14
400,Sebastian,Mazur,2018-10-13,man,Gdynia Wzgorze Sw. Maksymiliana 76 b/2,gmazur@gmail.com,14
401,Adam,Ziolkowski,2018-11-22,man,Gdynia Wzgorze Sw. Maksymiliana 93 b/2,sziolkowski@gmail.com,14
402,Jakub,Wozniak,2018-12-06,man,Gdynia Wladyslawa IV 44 a/10,fwozniak@gmail.com,14
403,Ignacy,Wrobel,2018-01-14,man,Gdynia Starowiejska 87 c/7,gwrobel@gmail.com,14
404,Adam,Mazur,2018-02-21,man,Gdynia Morska 34 a/1,tmazur@gmail.com,14
405,Emilia,Sikorska,2018-03-09,woman,Gdynia Paderewskiego 79 a/5,ssikorska@gmail.com,14
406,Stanislaw,Witczak,2018-04-02,man,Gdynia Wiejska 53 b/8,owitczak@gmail.com,14
407,Norbert,Klimek,2018-05-28,man,Gdynia Hutnicza 10 c/6,pklimek@gmail.com,14
408,Hubert,Nowicki,2018-06-08,man,Gdynia Wiczlina 60 b/9,inowicki@gmail.com,14
409,Piotr,Laskowski,2018-07-17,man,Gdynia Kaszubska 49 56 a/1,dlaskowski@gmail.com,14
410,Robert,Przybylski,2018-08-21,man,Gdynia Swietojanska 55 a/10,bprzybylski@gmail.com,14
411,Justyna,Majewska,2018-09-02,woman,Gdynia Legionow 94 a/8,lmajewska@gmail.com,14
412,Julia,Pawlak,2018-10-27,woman,Gdynia Legionow 85 a/8,lpawlak@gmail.com,14
413,Lukasz,Wieczorek,2018-11-05,man,Gdynia Wiejska 85 a/5,mwieczorek@gmail.com,14
414,Julia,Kaczor,2018-12-18,woman,Gdynia Kielecka 57 b/9,bkaczor@gmail.com,14
415,Dawid,Zakrzewski,2018-01-23,man,Gdynia Morska 67 c/1,uzakrzewski@gmail.com,14
416,Tomasz,Sobolewski,2018-02-18,man,Gdynia Kosciuszki 78 c/6,nsobolewski@gmail.com,14
417,Barbara,Lewandowska,2018-03-02,woman,Gdynia Marynarki Polskiej 23 34 b/5,zlewandowska@gmail.com,14
418,Amelia,Gajewska,2018-04-24,woman,Gdynia Hutnicza 32 c/3,mgajewska@gmail.com,14
419,Maria,Kozlowska,2018-05-15,woman,Gdynia Derdowskiego 84 c/1,fkozlowska@gmail.com,14
420,Dominik,Walczak,2018-06-25,man,Gdynia Starowiejska 98 a/3,iwalczak@gmail.com,14
421,Dominika,Sobolewski,2018-07-05,woman,Gdynia Powstania Styczniowego 21 a/7,gsobolewski@gmail.com,15
422,Zuzanna,Wlodarczyk,2018-08-03,woman,Gdynia Chopina 66 91 c/4,uwlodarczyk@gmail.com,15
423,Jakub,Dudi,2018-09-07,man,Gdynia Kosciuszki 10 b/4,gdudi@gmail.com,15
424,Karol,Nowak,2018-10-29,man,Gdynia Pucka 17 b/1,anowak@gmail.com,15
425,Maria,Blaszczyk,2018-11-14,woman,Gdynia Hutnicza 74 c/3,eblaszczyk@gmail.com,15
426,Blazej,Sobolewski,2018-12-12,man,Gdynia Marynarki Polskiej 23 28 a/4,lsobolewski@gmail.com,15
427,Oliwier,Sawicki,2018-01-26,man,Gdynia Starowiejska 80 c/7,csawicki@gmail.com,15
428,Bartosz,Maj,2018-02-22,man,Gdynia Slowackiego 53 a/10,amaj@gmail.com,15
429,Damian,Ostrowski,2018-03-05,man,Gdynia Abrahama 41 b/9,fostrowski@gmail.com,15
430,Antonina,Wlodarczyk,2018-04-15,woman,Gdynia Chopina 66 10 a/4,hwlodarczyk@gmail.com,15
431,Karolina,Malinowska,2018-05-19,woman,Gdynia Kaszubska 49 30 c/4,mmalinowska@gmail.com,15
432,Mikolaj,Witkowski,2018-06-22,man,Gdynia Polska 42 b/2,fwitkowski@gmail.com,15
433,Daria,Pawlak,2018-07-29,woman,Gdynia Chwarznienska 19 a/5,bpawlak@gmail.com,15
434,Antoni,Witczak,2018-08-16,man,Gdynia Polska 3 a/4,wwitczak@gmail.com,15
435,Hubert,Nowicki,2018-09-20,man,Gdynia Polska 81 b/1,rnowicki@gmail.com,15
436,Robert,Lis,2018-10-07,man,Gdynia Polska 54 a/1,jlis@gmail.com,15
437,Barbara,Nowakowska,2018-11-26,woman,Gdynia Hutnicza 29 b/9,bnowakowska@gmail.com,15
438,Kornelia,Brzezinska,2018-12-17,woman,Gdynia Wiczlina 7 a/7,lbrzezinska@gmail.com,15
439,Lukasz,Wlodarczyk,2018-01-11,man,Gdynia Starowiejska 45 c/4,wwlodarczyk@gmail.com,15
440,Rafal,Kaczmarczyk,2018-02-07,man,Gdynia Starowiejska 89 c/10,hkaczmarczyk@gmail.com,15
441,Jan,Krajewski,2018-03-27,man,Gdynia Marynarki Polskiej 23 31 c/3,dkrajewski@gmail.com,15
442,Patryk,Wasilewski,2018-04-14,man,Gdynia Kaszubska 49 57 c/3,swasilewski@gmail.com,15
443,Antoni,Sobolewski,2018-05-17,man,Gdynia Swietokrzyska 99 c/5,nsobolewski@gmail.com,15
444,Julia,Sikorska,2018-06-29,woman,Gdynia Morska 90 b/1,jsikorska@gmail.com,15
445,Mateusz,Witczak,2018-07-13,man,Gdynia Legionow 87 c/2,twitczak@gmail.com,15
446,Damian,Piotrowski,2018-08-23,man,Gdynia 3 Maja 77 c/5,upiotrowski@gmail.com,15
447,Norbert,Kaczmarczyk,2018-09-11,man,Gdynia Wzgorze Nawiedzenia 49 c/5,hkaczmarczyk@gmail.com,15
448,Jan,Mroz,2018-10-09,man,Gdynia Kosciuszki 38 a/5,mmroz@gmail.com,15
449,Julia,Dabrowska,2018-11-02,woman,Gdynia Derdowskiego 68 b/3,fdabrowska@gmail.com,15
450,Kornelia,Wieczorek,2018-12-28,woman,Gdynia Swietokrzyska 96 b/5,zwieczorek@gmail.com,15
